City,Country,Latitude,Longitude,Temperature (C),Cloudiness (%),Humidity (%),Wind speed (m/s),Datetime
Ushuaia,AR,-54.8,-68.3,5.81,40,52,16.46,1639905321
San Andrés,CO,12.5847,-81.7006,27.01,20,83,4.12,1639905609
Mataura,NZ,-46.1927,168.8643,20.27,79,52,3.85,1639905611
Jamestown,US,42.097,-79.2353,-1.06,90,94,3.13,1639905613
Albany,US,42.6001,-73.9662,2.83,100,89,4.02,1639905353
Yulara,AU,-25.2406,130.9889,38.91,0,8,6.69,1639905618
San Patricio,US,28.017,-97.5169,12.38,84,58,6.54,1639905621
Cabo San Lucas,MX,22.8909,-109.9124,20.53,12,78,2.84,1639905409
Grand Gaube,MU,-20.0064,57.6608,30.22,8,63,2.68,1639905625
Bilma,NE,18.6853,12.9164,17.91,5,24,6.85,1639905628
Ribeira Grande,PT,38.5167,-28.7,15.22,75,88,14.4,1639905630
Atikokan,CA,48.7555,-91.6216,-16.44,99,100,1.25,1639905633
Huarmey,PE,-10.0681,-78.1522,18.93,67,91,3.26,1639905635
Pirgos,GR,35.1167,25.7178,12.01,99,70,10.19,1639905638
Kapaa,US,22.0752,-159.319,24.18,75,77,1.34,1639905049
Avarua,CK,-21.2078,-159.775,26.03,75,73,4.63,1639905643
New Norfolk,AU,-42.7826,147.0587,13.72,72,41,5.06,1639905645
Isangel,VU,-19.55,169.2667,27.06,90,89,1.54,1639905648
Kyzyl-Mazhalyk,RU,51.1333,90.6,-11.94,95,87,0.18,1639905650
Fortuna,US,40.5982,-124.1573,11.06,90,79,2.68,1639905652
Rikitea,PF,-23.1203,-134.9692,24.7,100,76,6.49,1639905655
Bluff,NZ,-46.6,168.3333,20.45,68,68,6.4,1639905657
Hobart,AU,-42.8794,147.3294,14.03,75,55,0.89,1639905607
Kerman,IR,30.2832,57.0788,19.92,75,21,2.06,1639905662
Rawson,AR,-43.3002,-65.1023,18.8,5,69,3.98,1639905665
Young,UY,-32.6833,-57.6333,14.73,0,92,3.59,1639905668
Boa Vista,BR,2.8197,-60.6733,24.99,90,88,2.57,1639905671
Valleyview,CA,55.0667,-117.2859,-15.98,100,78,4.63,1639905673
Longyearbyen,SJ,78.2186,15.6401,-4.09,90,80,1.03,1639905506
Carnarvon,AU,-24.8667,113.6333,27.04,4,61,10.29,1639905678
Diu,IN,20.7141,70.9822,26.54,50,41,5.1,1639905683
Cape Town,ZA,-33.9258,18.4232,26.82,0,57,1.79,1639905680
Saint Anthony,US,45.0205,-93.218,-11.51,1,81,0.0,1639905691
Avera,US,33.194,-82.5271,18.17,100,98,3.12,1639905694
Butaritari,KI,3.0707,172.7902,27.79,64,80,6.97,1639905696
Puerto Ayora,EC,-0.7393,-90.3518,20.31,60,97,3.1,1639905700
